Sentences,Labels
banyak sekali tempat makan sunda bertebaran kota bandung   tidak tahu saya sangat jatuh hati sebuah warung makan   ibu imas berada dekat alun alun kota bandung menyuguhkan rumah makan sunda karakter warung nasi zaman mana bisa mengambil semua hidangan depan tanpa melalui proses order yang biasa jumpai warung makan  ,Positif
hai bantu input tidak resi jne kenomor resi dipakai  ,Netral
foods   menu baru cheeseburger nya oke banget chicken wings pizza hut memang selalu juara   dirilis   mixing green tea yakult   perfect   satu satunya kekurangan pizza hut pinggiran nya  ,Positif
dusun bambu tergolong baru bandung   tempat nya dekat banget sama almamater   membuat gampang cari tempat   pemandangan nya bagus   banyak tempat makan enak enak   beli nya pakai voucher  ,Positif
memuaskan,Hate Speech
suruh ngaca pemain nya   dasar oneng   ngomong masih ala betawi lu   kampungan  ,Hate Speech
kafe menyajikan sensasi makan gelap   cukup unik sih   lebih sekali   rasanya orang jarang datang   menarik sekadar mencoba  ,Hate Speech
sesuai nama nya mi awie   kedai makan menyediakan menu mi olahan daging babi   mi ada pilihan lainnya nasi goreng babi   capjay goreng   bakso   pangsit lainnya   mencoba menu mi babi casau special   rasanya   enak banget  ,Positif
mardani ali sera   kemenangan sosial media   selalu kemenangan dunia nyata  ,Netral
terakhir tempat beberapa tahun lalu masih berupa kafe   sekaramg jadi penginapan boutique hotel   travel bareng anak anak suka menginap sini   playground yang seru   swimming pool   high rope   flying fox kalau menginap tiket gratis petik stroberi perlu pesan   suka ramai   menginap sini banyak pilihan kamar   enak  ,Positif
selamat pagi   wah kecewa berat masa indihome internet kocek   itu bayar mahal   jangan kecewakan sebagai pelanggan,Hate Speech
  pokok nya kurang kurang afdol kalau lembang bandung mampir ke sini   4 humas naik buat kampung daun  ,Positif
kfc bandung supermall fasilitas nya lengkap luas   jarang ditemukan dikfc lainnya   keramahtamaan karyawan nya sangat bagus,Positif
restoran sapu lidi memilik keunikan tersendiri   serasa makan tengah sawah   dikelilingin kolam ikan juga nuansa persawahan   menu nya makanan sunda lainnya   ada satu menu favorit   jamur bakar   enak banget  ,Positif
semua enak   mi abu abu   mi black   tahu cocol sayap ayam nya mantap   buat makan camilan di sini  ,Positif
nkri bersyariah   fpi   revolusi akhlaq   suara keadilan     laugh   semua tersandung kasus   fpi   ulama nya tersandung obrolan mesum berani pulang   nkri bersyariah   berarti mengamalkan pancasila   sungguh miris  ,Hate Speech
bikin macet nih orang,Hate Speech
singapura selidiki penjualan prt indonesia situs daring,Netral
pergi merayakan ulang tahun tempat sangat berkesan   dengan istri memilih tempat   menu makanan variatif   makanan barat lokal   sedia baju hangat   dingin sangat sini  ,Positif
kapan saya akan memilih orang pengecut prabowo   saya   tidak pantas memimpin negara  ,Hate Speech
jangan terlalu banyak iklan   perbaiki dulu jaringan kalian lamban,Hate Speech
kalau orang tiongkok masuk indonesia baru maju   kalau andalkan orang pribumi otak nya jongkok,Hate Speech
cepat respon   pengiriman kilat   ramah   akhirnya berputar putar toko yang jelas   bertemu toko juragan yang pelayanan nya sangat memuaskan   tangkap sangat juragan  ,Positif
sok pencitraan sekali   basi sama gaya lu   lebih wibawa seragam coklat top deh buat pak anies  ,Hate Speech
sini beberapa tahun lalu bersama teman teman   suasana nya sangat menyenangkan pemandangan bagus hawa dingin menyegarkan   lebih baik datang sini malam hari   steak nya enak  ,Positif
debut   empat bagus bikin suka sekali tonight saranghajima   mengerti apa aku atau lain merasakan   winner abang bigbang yang kalau nyanyi jiwa nya ikutan nyanyi   bagus banget   makin cinta mereka tahu sifat sikap saya  ,Positif
sangat melelahkan malam  ,Hate Speech
marah,Hate Speech
dong   aku pilih sby   eh pilih prabowo maksude   datang aku pilih selain jokowi biasanya yang selain partai banteng moncong tepung   grinningfacewithsmilingeyes,Hate Speech
puas servis nya   ramah   harga nya sebanding pelayanan rasanya   pemandangan nya keren banget   cocok buat acara ngumpul bareng teman keluarga   pokok nya rekomendasi sekali   menyesal deh   pokok nya ke sini   dilayani feriyana super ramah baik   pokok nya buat teman teman the 18th recommened sekali  ,Positif
pertama kali makan abuba steak luar jakarta   rasanya berbeda yang biasa nikmati abuba steak jakarta   kurang enak   suasana restoran nya oke   toilet nya agak tua   sedikit diperbaharui,Hate Speech
xl jaringan nya jelek banget,Hate Speech
puas games mobile legend,Positif
bersama rekan kerja sengaja mencoba makan siang sambal khas karmila cab   buah batu bandung   tempat terbilang cozzy cukup nyaman lantai atas   lantai dasar rasa lebih tempat makan makanan cepat saji cukup penuh hiruk pikuk pelanggan   rasa ayam bakar di sini sangat rekomendasikan bersama sambal mangga   terkait harga terbilang relative  ,Positif
kuah bakso nya terlalu asin saya   enakan dijual keliling malang   tempat nya bagus buat menjamu teman   di banyak lokasi selalu ramai   bakso menyediakan capcay   nasi goreng lain yang saya justru lebih enak  ,Positif
sebagai warga jakarta malu kang sama oknum tidak bertanggung jawab mau sweeping bobotoh,Hate Speech
tenderloin steak nya juara   tempat mudah diakses memaki tersembunyi   nyaman   tema zaman   ramai   pelayanan biasa  ,Positif
adalah salah satu restoran chinese sudah sejak lama   masakan kepiting nya favorit juara   biasa pesan kepiting rebus   babat toge cah kangkung,Positif
cebong selama menuduh mencuri uang sedekah 30    silakan urus si aris wahyudi   ambil komisi 20   transaksi pelacuran berkedok agama   berani   membulat si aris wahyudi   kamu semua cuma berani sama jonru  ,Hate Speech
menarik pilkada jawa barat   ridwan kamil berpasangan tokoh dc universe  ,Positif
suasana kantor dpc kab  bogor menjelang pidato awal tahun 2018,Netral
kalau djarum memang kuat   baru kerasa tidak bagus nya pas akhir bakaran,Hate Speech
bakmi tasik beberapa teman mampir dan coba bakmi bakso nya   makanan nya biasa biasa   ada special  ,Hate Speech
lokasi pandan wangi sebenarnya jauh pusat kota bandung   masih terjangkau   15 menit jalan asia afrika   patokan jalan nya di jalan talaga bodas   sana tinggal mencari papan petunjuk pandan wangi   kami datang jam 1 siang menanti banyak orang   kebanyakan datang keluarga anak anak   menunggu disajikan gorengan ubi   singkong lumayan enak  ,Positif
pertama kalinya datang eatalia   datang bersama teman 1 orang anak   memsungkan memlilih makanan anak di sini menyediakan menu porsi anak   memesan cheese bacon deluxe   pizza roti berwarna hitam   keseluruhan menu saya pesan mengecewakan  ,Positif
rasanya lumayan   sambel nya enak   disajikan 3 macam model   terus banyak pilihan sih sebenarnya mau makan apa sini   mau gurame   mau kakap   bawal   kerang   cumi   udang   macem macem deh   asal jangan pesan ikan kembung   ada sini  ,Positif
berlokasi salah satu tempat belanja rekreasi cihampelas wali bandung   resto tidak mengecewakan   sajian nya cukup beragam   rasanya   resto bisa menyajikan nya cukup enak nikmat   sangat cocok bersantap pasangan keluarga  ,Positif
dizaman masih mbak mbak online shop tidak tahu aplikasi gojek gocar gosend allah bodoh sekali   jualan dihutan aku rasa,Hate Speech
restoran juga terletak tempat stategis jalan dago   tepat nya sebelah hotel holiday inn   sesuai judul nya   restoran menyediakan berbagai menu masakan aceh   favorit adalah mi aceh   harga standar tidak terlalu mahal   jangan lupa coba roti canai nya,Positif
bihun goreng nya enak   minta banyak minyak   makanan sini mengandung babi jadi halal   es teh tawar porsi nya besar memuaskan  ,Positif
lokasi tes jelas   ditelepon diangkat   email cuma auto reply   rekomendasi   aku baru sadar something wong pas mampir kantor nya mereka cerita pernah held tes hotel ruang sebelah kondangan   they told that without remorse,Hate Speech
sate kambing gulai kambing nya maknyus   penyajian makannan nya sangat cepat   tempat nya cukup bersih,Positif
yue hotel di mongkok hongkong   ada   bulan juni lalu   booked sudah bayar 2 kamar   hotel ditemukan,Hate Speech
poach salmon nya enak   pelayanan nya enak   scenery nya mantap   tank to amanda worth it banget deh   kembali,Positif
orang cina makanan legendaris lama banget nih orang cina makanan satu semuanya enak tidak enak cuma parkir nya aujubila susah nya parkir di seberang depan resto trotoar   jadi sabar sekali sekali   sedih deh  ,Hate Speech
makan restoran pizza paling enak bersama teman   menikmati paket sensasi delight harga nya sangat terjangkau semua kalangan  ,Positif
hasil quick count pilgub kaltim 2018   isran   hadi unggul,Netral
kamu jerat buni yani undang undang ite   padahal jelas jelas video berasal youtube diunggah pemprov sendiri   nya kena undang undang ite pemprov bukan buni yani   kan  ,Hate Speech
paket gim benar benar mantap   megah makan sini   dijamin makin keren   bravo  ,Positif
dekat gubernuran   jauh jembatan penyebrangan   gang nya terdapat makanan sudah sejak zaman ibu   rasa kuah lontong kari kental agak manis   cocok ditambahkan acar ada di meja   porsi nya mengenyangkan,Positif
berada tengah tengah jalan braga   tempat nya lumayan enak nongkrong   live musik   makanan nya lumayan  ,Positif
pengguna setia produk   kecewa banget sama pelayanan pusat servis asus tidak jujur menyepelekan pendapat pelanggan  ,Hate Speech
tempat makan pasta sudah asing apa kalau bukan pizza hut   posisi pizza tempat sangat nyaman inside mal outside mal berhadapan langsung jalan merdeka bisa memanjakan mata sekadar melihat rutinitas orang orang sekeliling   letak sangat strategis di lalu angkutan umum  ,Positif
tempat makan nengusung konsep to alam   makan saung   sepanjang jalan menuju saung akan disuguhi pemandangan indah   suasana makan cukup nyaman   pelayanan cepat   rasanya enggan pulang   harga relatif standart mahal sekelas   rasa makanan sebenarnya standart   pasti suasana mantap  ,Positif
memberi cabai nya pelit   masak nya cepat banget   rasanya enak   cuma kurang sayuran   enak,Positif
tadinya penasaran tempat karena tempat nya banyak sekali foto foto kunjungan artis tempat tapi pas pesan makanan unggulan tempat rasa setinggi pemikiran saya yang biasa dan keras   jadi aneh saya tempat bisa sebegitu terkenal nya,Hate Speech
kang   jalan muararajeun baru   baru sebulanan dibenarkan   rusak   mengerjakan tidak serius,Hate Speech
jangan pernah kecewa apa diberikan tuhan,Positif
masakan jepang suka ada tidak   dengan menu masakan yang satu karubi pas lidah keluarga   dan tempat juga menyediakan tempat bermain anak anak harga makan resto agak tinggi sih   enak sekali masakan nya  ,Positif
tempat nya sih biasa   ada istimewa   bahkan saya   tempat nya menjadi sedikit nilai minus penilaian kali   parkir tidak terlalu luas dekorasi ruang makan biasa   lain kalau bicara soal makanan   untuk urusan   red  dipo punya banyak nilai plus   makanan nya bervariasi rasa di atas rata rata  ,Positif
makan kaki kambing paha empuk lumayam besar ukuran medium   pas satu orang   makan nasi   es lemon tea   segar kekurangan nya tempat nya berasap   wajar kan namanyanjg kambing bakar hehehe,Positif
bukti sunda memang gudang mode makanan   dapat dijelaskan bagaimana enak nya bakmi parahiyangan   pokok nya ketagihan,Positif
sebenarnya barang kw banyak bagus kualitas   seringkali nih ternyata pas lihat eh ternyata barang nya memang bagus bahan nya,Positif
melihat kader demokrat ribut pak hnw pks   karena demiz jadi dicalonkan   jijik baca nya,Hate Speech
makan sini kebetulan libur panjang kemerdekaan 17 agustus   diperlukan waktu 40 menit lebih antre   sistem pesan terlebih saat reservasi diijinkan   padahal menghemat waktu   tempat solat berada depan pintu masuk permainan seni dimainkan sangat berdekatan musola sangat menganggu ibadah   satu paling menakjubkan suasana alam yang menyatu  ,Positif
tak usah nonton film   bahasa jawa semua   mengerti   tidak punya teks   jelek film nya   tindak pantas tayang layar besar  ,Hate Speech
cha cha makanan ringan terenak tepat buat menemani waktu tugas,Positif
si monyet bawah gua   nama nya anonim pengecut pakai simbol   nya cuma mengatakan orang   memang hidup situ benar anjing   nama tidak berani sebut   malu mending apa takut  ,Hate Speech
sudah bosan janji janji kalian,Hate Speech
tempat cocok relax keluarga   pelayanan nya bagus   makanan enak yang pemandangan   pemandangan nya mantap  ,Positif
fadli zon anjing kau   usah kau sok polos  ,Hate Speech
paling enak sini tuna mayo pizza nya pinggir nya pakai cheesy bites   harga cukup murah   pelayanan cukup baik   tempat strategis  ,Positif
sulit sekali mengerti orang merasa selalu benar,Hate Speech
bagaimana romantis   udara dingin   suasana tenang makanan lezat menikmati keindahan kota bandung   sangat romantis sekali,Positif
nanda mulai bekerja dhl indonesia bulan depan,Netral
omongan nya pak anies suka kebalikkan nya   kalau percaya terus menerus gila  ,Hate Speech
datang pasangan liburan   tempat sangat asri   sejuk   pemandangan sangat menarik   makanan terlalu mahal menggugah selera  ,Positif
rasa enak banget   wajib dicoba buat pecinta ayam bakar   harga sepadan   lebih enak kalau makan bareng bareng sama keluarga tercinta   tempat makan nya enak  ,Positif
rakyat mah panik biasa hampir 4 tahun belakangan di kibulin terus   istana panik segala jurus tipu dikeluarkan tidak mempan rakyat nya dah pinter   penghuni kolam butek yang masih senang diumpankan tipu tipu hap hap hap,Hate Speech
alhamdulillah   warga perbatasan merasakan buah pembangunan   yang lama menikmati menunggu 72 tahun merdeka sekarang 73 tahun merasakan nya   terima kasih pak jokowi   awal memang pernah benci pak jokowi   justru salut sama beliau  ,Positif
berlokasi daerah ciumbuleuit   terpencil   kafe sudah cukup lama   tadinya berupa halaman rumah sulap menjadi tempat makan terbuka taman   sederhana sunyi   buat yang nongkrong cafe keributan   hiruk pikuk terlalu banyak orang   di sini tempat nya   makanan cukup oke bisa bersama lama  ,Positif
marah indosat,Hate Speech
kampung bareto terletak dataran tinggi bandung utara   menyajikan makanan indonesia makanan barat saung lesehan meja makan   digunakan pertemuan keluarga   arisan makan bersama teman jumlah banyak   cocok menjamu tamu bersantai   malam minggu disajikan musik live   tersedia juga kolam ikan memancing   harga makanan bawah 100k id  suasana nya tenang pelayan sangat baik  ,Positif
yusri maling kepala maling belakang nya   ayo pejabat jakarta   cabut ktp dki nya   rakyat miskin sudah dibantu pajak orang orang beruang kok bergaya  ,Hate Speech
senang sekali berkunjung ayam penyet bu tris   banyak menu tersedia   pada itu hanya mencoba makanan sate   sungguh nikmat romantis sekali makan ditemani alunan live musik  ,Positif
pertama kali makan sini sengaja melihat antrean orang depan restauran   rasanya enak   porsi mengenyangkan   harga terjangkau   kalau tidak terlalu lapar   sebaiknya pesan 1   2 porsi  ,Positif
nasi goreng hijau tren botti nya enak   lain oke oke   jus lumayan seger   tempat nya lumayan buat ngumpul ngumpul sama keluarga  ,Positif
kalau kami merupakan restoran rekomendasi bandung awal datang pelayanan nya bagus bagus pelayanan itu pemandangan sini kece banget   makanan nya enak   menyesal deh datang sini,Positif
dasar gubernur bermutu   pecat dari gubernur  ,Hate Speech
keren sekali tempat nya   benar benar sesuai nama nya the 18th restoran lounge   nyaman sekali tempat nya   cocok banget buat makan sama keluarga   rata rata ke sini sama pasangan nya sih   sama kelurga lebih asik kok   pelayan nya baik banget   ramah   harga makan nya standar kok,Positif
makan siang memuaskan   menu buffet system   rasa enak penyajian uni cara menikmati nya makan langsung beralaskan daun pisang   sensasional   mencoba menu tutut dimasak kuning jengkol crispy   it s incredible but quite yummy   rekomendasi  ,Positif
mantap sekali   ambo kue lembut legit   kuah banyak   lokasi tempat terbatas   sini jual makanan seperti nasi tim ayam enak,Positif
seorang teman mengajak hang out sore   sayang nya tempat parkir muat lebih 5 mobil   jadi susah lumayan menghabiskan waktu lama untuk mencari tempat parkir  ,Positif
makanan nya enak variasi makanan lumayan banyak   buka malam cocok yang cari makanan malam hari,Positif
auto mual   mie nya kelembekan   molor nya hancur   cuek,Hate Speech
kubu djarot klaim unggul real count,Netral
tahu   cap cay   kangkung nya lumayan kepiting saus padang nya mengecewakan dikasih kepiting kopong akhir tidak makan kepting nya dikembalikan  ,Hate Speech
kericuhan terjadi pengujung debat kedua pilgub jabar 14 mei 2018 lalu   menimbulkan silang pendapat para kontestan debat  ,Netral
yamien manis nya mirip banget mi nursijan asli sekarang tidak lagi si angka nya almarhum   nasi goreng nya rekomendasi,Positif
semakin sedikit engkau berbicara kualitas mu   semakin orang ikhlas menghargai kehebatan mu,Positif
paketan nya murah setimpal banget   aku pakai unlimited 60k sinyal bagus   streaming terus terusan   meskipun sup nya turun tetap internetan   kuatir kuota habis   perlu merek merek kuota   menyesal beli  ,Positif
poor   dulu waktu makan sana   interior bagus   parkir susah   rasa makanan semua manis termasuk sayur asem nya  ,Hate Speech
sby   dipilih pilkada sosok bukan partai politik  ,Netral
warga bandung senang menikmati kuliner bandung   nya tahu restoran satu   sejak kecil orang tua kerap membawa untuk menikmati sate satu   ukuran nya cukup besar bumbu kacang nya khas selalu memaksa untuk lagi restoran   anda belum pernah mencoba nya   sangat merekomendasikan restoran  ,Positif
tempat nyaman   retro   menu andalan nya grill   saya pesan nasi goreng sea food   rasanya enak,Positif
menyesal beli first press regular isi photobooka nya alur jodoh,Hate Speech
tidak suka beliau jokowi masih jadi presiden,Hate Speech
percayakah masyarakat indonesia karangan bapak polisi terhormat   kata nya bertemu pemotor nya   silakan nilai mengarang bawah   nilai berapa  ,Hate Speech
angka satu dianggap menjadi pembawa hoki pilkada jawa  ,Netral
bakal salah kalau pesan jus stroberi   nasi liwet sama sop buntut nya     cek out their butik villa   cocok buat mau relaxing seharian pinggir kolam buku ipad   surga  ,Positif
meskipun berasal pekanbaru jika bicara masakan padang tetap lebih enak sana masakan padang jakarta   kebanyakan masakan padang sini dimodifikasi lidah masyarakat sini   jadi   meskipun dekat kantor rumah makan padang rasanya lumayan   tetap bisa puaskan rasa rindu cita rasa asli padang kok berlebihan   hehehe,Hate Speech
temui anies   sandi   sudirman said bahas finalisasi tim gubernur   mantan ketua tim sinkronisasi anies   sandi   sudirman said menyambangi balai kota   membahas finalisasi tim gubernur anies baswedan,Netral
orang orang pks sangat berkualitas hingga kampanye negatif diperintahkan  ,Hate Speech
kampung daun memiliki suasana nyaman   pegunungan   makan siang ataupun makan malam   kampung daun sangatlah romantis   ditemani gemericik air   suasana hijau   cuaca sejuk   makanan khas sunda indonesia itu ada makanan luar steak   ingin mencicipi menu istimewa nasi timbel nasi campur sunda sangatlah cocok di sini   makan serabi ditemani minuman bajigur menambahkan hangat nya suasana  ,Positif
jokowi suka sebar isu bohong,Positif
cinta banget sama produk negeri keren   modis   berkualitas terjangkau,Positif
saya black black keren   dipakai buat olahraga aktifitas lainnya   mantap  ,Positif
terima kasih atas jasa nya   sangat puas   pelayanan nya sangat baik ramah   pendamping nya keren   menyenangkan  ,Positif
orang papua memang biadab lebih baik bom   keberadaan nya bikin kacau susah orang  ,Hate Speech
nongkrong cantik memang enak nya sini   tempat nya luas   suasana nya oke   kemarin tidak coba kopi nya   pesan goulash soup   salmon steak chicken steak nya   goulash nya enak   steak nya not jadi sangat   rasa harga agak mahal situ dapat lebih enak tempat   but keseluruhan baik okelah buat nongkrong minum kopi meter,Positif
warung roti terletak daerah gardu jati   menyediakan aneka roti bakar baik porsi kecil maupun besar   pisang bakar bubur ayam melengkapi menu   bubur ayam kampung sangat gurih menggoda   patut dicoba  ,Positif
steak sudah puluhan tahun bandung sudah sangat tersohor   zaman sampai bandung kalau mau steak meluncur ke sini   stand pertama nya banget saya tahu itu jalan setiabudi   suis butcher steak house setiabudi jalan   setiabudi no  174 bandung 40141 telepon   022   2033172 fax   022   2038829 steak enak banget  ,Positif
di sekitaran setiabudi   banyak sekali resto   kafe  nah kali kami mencoba tempat hitam romantiuc   mencoba iga konro nya   masih banyak menu lainnya masakan westrn indonesia asia lainnya   harga nya murah pasti terjangkau sekali   untuk anak anak muda  ,Positif
dulu enak sekali   sekarang rasanya biasa   mungkin selera yang terus berubah tempat mempertahankan tradisi nya   pelayanan suasa nya restoran masih sama dahulu   terjaga bisa terus ditingkatkan tidak ketinggalan zaman  ,Hate Speech
kalau bandung selalu mampir lomie karuhun   lokasi nya strategis pinggir jalan pasir kaliki   rasanya enak   kuah nya kental   jangan lupa pakai sambal jeruk   harga nya terlalu mahal   top  ,Positif
restoran mempunyai pemadnagan sangat indah penataaan meja makan sungguh berantakan menimbulkan kesan restoran biasa bukan setara kafe ataupun lounge harga standar rasa standar,Positif
merupakan salah satu mi legendaris bandung temap nya banyak mengalami perubahan saat   bangunan tua rumah biasa   suka mi yamin asin   mie nya lembut sepertinya home membuat   kuah kaldu nya gurih  ,Positif
minimal mohon bantuan nya order belum diambil berng nya driver gojek status nya dalam proses pengantaran,Netral
mengagumi,Positif
hebat,Hate Speech
tiap kali bandung tak lupa mampir tempat   steak nya enak   empuk   murah   rasanya original lidah indonesia   cobalah tenderloin steak potato ala suis   dijamin ketagihan  ,Positif
beli cimory indomaret   tau nya lewat masa kadaluarsa tiga hari   kacau  ,Hate Speech
negara khilafah boleh perbedaan   semua salat   bunuh dulu sebelum dibunuh,Hate Speech
sini bersama istri anak   ke sini gara gara melihat ulasan inet   tempat nya jalan riau persis bersebelahan sama outlet cascade heritage   dekorasi nya dibuat homy    tempat duduk luas jarak antar meja berjauhan nyaman mengobrol ketawa ketawa ada protes   memang sini khas nya coffee and cake  ,Positif
tempat lumayan romantis   kalau bawa pasangan   kebetulan pas sana   malam hari gerimis   jadi pemandangan bawah   kurang oke   sayang banget   padahal siap siap bawa kamera   seragam pelayan sepertinya diganti deh   pikir security   ternyata pelayan   ronde nya enak   pesan satu makanan tapi sepertinya lupa diorder ke dapur  ,Positif
susah sama orang primitif tolikara papua bodoh   orang salat id malah dibubarkan   si hitam tolol tolikara,Hate Speech
